date,freq
2005-01,4
2005-02,2
2005-03,4
2005-04,5
2005-05,3
2005-06,6
2005-07,1
2005-08,3
2005-09,3
2005-10,2
2005-11,5
2005-12,4
2006-01,4
2006-02,0
2006-03,8
2006-04,1
2006-05,10
2006-06,4
2006-07,2
2006-08,1
2006-09,10
2006-10,3
2006-11,7
2006-12,3
2007-01,1
2007-02,2
2007-03,6
2007-04,4
2007-05,4
2007-06,8
2007-07,2
2007-08,1
2007-09,7
2007-10,7
2007-11,9
2007-12,3
2008-01,4
2008-02,3
2008-03,3
2008-04,5
2008-05,1
2008-06,5
2008-07,2
2008-08,3
2008-09,1
2008-10,2
2008-11,2
2008-12,2
2009-01,1
2009-02,1
2009-03,5
2009-04,4
2009-05,2
2009-06,3
2009-07,5
2009-08,6
2009-09,7
2009-10,3
2009-11,7
2009-12,4
2010-01,12
2010-02,14
2010-03,14
2010-04,11
2010-05,2
2010-06,5
2010-07,3
2010-08,4
2010-09,8
2010-10,7
2010-11,5
2010-12,5
2011-01,4
2011-02,5
2011-03,4
2011-04,6
2011-05,4
2011-06,14
2011-07,6
2011-08,8
2011-09,9
2011-10,7
2011-11,14
2011-12,15
2012-01,12
2012-02,12
2012-03,10
2012-04,9
2012-05,0
2012-06,7
2012-07,14
2012-08,10
2012-09,13
2012-10,10
2012-11,9
2012-12,6
2013-01,15
2013-02,8
2013-03,13
2013-04,7
2013-05,6
2013-06,5
2013-07,9
2013-08,9
2013-09,5
2013-10,12
2013-11,5
2013-12,8
2014-01,5
2014-02,7
2014-03,5
2014-04,7
2014-05,6
2014-06,7
2014-07,3
2014-08,5
2014-09,5
